time,prediction,prediction_tau,idle,transmit
0,13,1,0,0
0,13,2,-0.0109224,-0.0480238
0,13,3,-0.00405165,-0.0123184
0,13,4,0,0
0,13,5,-0.00913959,-0.0182267
0,13,6,-0.0123795,-0.0407983
0,13,7,-0.00691592,-0.0369441
0,13,8,-0.010076,-0.0381429
0,13,9,-0.0177056,-0.0948121
0,13,10,-0.015289,-0.0871393
0,13,11,-0.011991,-0.0841389
0,13,12,-0.0101633,-0.0669414
0,13,13,-0.00951864,-0.126243
0,13,14,-0.00786419,-0.117808
0,13,15,-0.00555406,-0.0946514
0,13,16,-0.0019709,-0.162137
0,13,17,0.000472722,-0.15214
0,13,18,0.00342225,-0.123872
0,13,19,0.00498101,-0.098176
0,13,20,0.00890968,-0.0965094
0,13,21,0.0105369,-0.123054
0,13,22,0.0137347,-0.0916299
0,13,23,0.0140373,-0.125696
0,13,24,0.0177668,-0.0985363
0,13,25,0.0166685,-0.0683856
0,13,26,0.016209,-0.0642397
0,13,27,0.0190189,-0.0817444
0,13,28,0.0139247,-0.0868976
0,13,29,0,0
0,13,30,0.00320957,0.00532907
0,14,0,0,0
0,14,1,0,0
0,14,2,0,0
0,14,3,-0.00399636,-0.0088704
0,14,4,0,0
0,14,5,-0.00351663,-0.0098176
0,14,6,-0.00286447,-0.00938127
0,14,7,-0.00249683,-0.0186245
0,14,8,-0.00832162,-0.0290166
0,14,9,-0.00396633,-0.0320561
0,14,10,-0.00964418,-0.0642049
0,14,11,-0.00725999,-0.0559255
0,14,12,-0.00935404,-0.0663086
0,14,13,-0.00711619,-0.0295647
0,14,14,-0.00489874,-0.0634772
0,14,15,-0.00387096,-0.0945843
0,14,16,-0.00228129,-0.0548965
0,14,17,0.000257286,-0.0483956
0,14,18,0.00201743,-0.0511623
0,14,19,0.00518792,-0.0658129
0,14,20,0.00758315,-0.0592677
0,14,21,0.00976455,-0.0522392
0,14,22,0.0122579,-0.095536
0,14,23,0.011057,-0.045045
0,14,24,0.0112385,-0.0573372
0,14,25,0.0164288,-0.10418
0,14,26,0.0129265,-0.0425814
0,14,27,0.0131953,-0.0350389
0,14,28,0.0105182,-0.010648
0,14,29,0.00613168,-0.0276329
0,14,30,0.0103983,-0.0176194
0,15,0,0,0
0,15,1,0,0
0,15,2,0,0
0,15,3,0,0
0,15,4,0,0
0,15,5,0,0
0,15,6,-0.00274019,-0.0308609
0,15,7,-0.00729424,-0.00360669
0,15,8,-0.00464376,0.00280682
0,15,9,-0.00731086,-0.0144164
0,15,10,-0.0077844,-0.0250447
0,15,11,-0.00458859,-0.0177581
0,15,12,-0.00261563,-0.0166442
0,15,13,-0.00112435,-0.00773467
0,15,14,-0.00280583,-0.0115887
0,15,15,-0.000832314,-0.0209965
0,15,16,-0.000458995,2.14933e-06
0,15,17,0.000138378,-0.0218342
0,15,18,0.00180105,-0.0354796
0,15,19,0.00305878,-0.0187585
0,15,20,0.00234997,-0.0124483
0,15,21,0.00531567,-0.0155841
0,15,22,0.00283893,-0.0314907
0,15,23,0.00175437,-0.0108512
0,15,24,0.00668494,-0.0302683
0,15,25,0.00789623,-0.0243365
0,15,26,0,0
0,15,27,0.00247613,-0.00701093
0,15,28,0.00566034,0.00180207
0,15,29,0.00322696,-0.00917973
0,15,30,0.00660986,0.0007874
0,16,0,0,0
0,16,1,0,0
0,16,2,0,0
0,16,3,0,0
0,16,4,0,0
0,16,5,0,0
0,16,6,-0.00567422,-0.00130121
0,16,7,-0.00254508,-0.0090978
0,16,8,0,0
0,16,9,-0.0042558,-0.0142568
0,16,10,0,0
